
============================================================
[EVALUATOR] coefficient pattern regression
[CHECK] EvalRestrictedDegree8 across sparse/dense coefficient patterns
[PASS] eager/lazy err < 1.000000e-08 and lazy relin/rescale <= eager

case                         mode                    plan                                                                          eager_err     lazy_err      tensor      relin       rescale     pass
sparse_tail_block_mix        FIXEDMANUAL             two-block-z4 block0:One=1 block1:Z=1 tail=2 c0=no c1=yes c5=yes               2.075423e-12  1.671968e-12  6/6         6/6         6/6         yes
sparse_tail_block_mix        COMPOSITESCALINGMANUAL  two-block-z4 block0:One=1 block1:Z=1 tail=2 c0=no c1=yes c5=yes               5.173917e-13  6.631199e-12  6/6         6/6         6/6         yes
constant_x4_x7               FIXEDMANUAL             two-block-z4 block0:One=1 block1:Z=1 tail=1 c0=yes c1=no c5=no                1.661782e-12  1.714517e-12  6/6         6/5         6/5         yes
constant_x4_x7               COMPOSITESCALINGMANUAL  two-block-z4 block0:One=1 block1:Z=1 tail=1 c0=yes c1=no c5=no                1.007527e-13  4.645229e-12  6/6         6/5         6/5         yes
dense_degree8                FIXEDMANUAL             two-block-z4 block0:One=3 block1:Z=3 tail=3 c0=yes c1=yes c5=yes              6.262435e-12  6.250112e-12  12/12       12/6        12/6        yes
dense_degree8                COMPOSITESCALINGMANUAL  two-block-z4 block0:One=3 block1:Z=3 tail=3 c0=yes c1=yes c5=yes              1.196210e-12  7.346068e-12  12/12       12/6        12/6        yes

summary:
  cases             = 36
  all pass          = yes
