# Internal BSGS Runtime Benchmark

This benchmark measures core evaluator runtime only. Key generation and encryption are outside the timed region.

| pattern | mode | path | warmup | repeat | tensor | relin | rescale | median_sec | mean_sec | final_err |
| --- | --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| coeff_pattern_internal_t2_b4_a | FIXEDMANUAL | eager | 1 | 3 | 13 | 13 | 13 | 5.951540e-01 | 6.258515e-01 | 2.935436e-13 |
| coeff_pattern_internal_t2_b4_a | FIXEDMANUAL | inner-lazy | 1 | 3 | 13 | 9 | 9 | 7.298596e-01 | 6.397611e-01 | 3.552206e-13 |
| coeff_pattern_internal_t2_b4_a | COMPOSITESCALINGMANUAL | eager | 1 | 3 | 13 | 13 | 13 | 1.543352e+00 | 1.539266e+00 | 4.179762e-14 |
| coeff_pattern_internal_t2_b4_a | COMPOSITESCALINGMANUAL | inner-lazy | 1 | 3 | 13 | 9 | 9 | 1.086385e+00 | 1.155159e+00 | 5.751291e-14 |
| coeff_pattern_internal_t2_b4_b | FIXEDMANUAL | eager | 1 | 3 | 13 | 13 | 13 | 6.542201e-01 | 6.607304e-01 | 2.147259e-13 |
| coeff_pattern_internal_t2_b4_b | FIXEDMANUAL | inner-lazy | 1 | 3 | 13 | 9 | 9 | 4.957434e-01 | 5.131317e-01 | 2.526668e-13 |
| coeff_pattern_internal_t2_b4_b | COMPOSITESCALINGMANUAL | eager | 1 | 3 | 13 | 13 | 13 | 9.778164e-01 | 1.013226e+00 | 3.872587e-14 |
| coeff_pattern_internal_t2_b4_b | COMPOSITESCALINGMANUAL | inner-lazy | 1 | 3 | 13 | 9 | 9 | 1.107362e+00 | 1.094378e+00 | 4.830425e-14 |
