
============================================================
[EVALUATOR] coefficient pattern regression
[CHECK] EvalRestrictedDegree8 across sparse/dense coefficient patterns
[PASS] eager/lazy err < 1.000000e-08 and lazy relin/rescale <= eager

case                         mode                    plan                                                                          eager_err     lazy_err      tensor      relin       rescale     pass
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
only_c0                      FIXEDMANUAL             compact-active tail=1 c0=yes c1=no c5=no                                      3.180789e-14  5.292988e-14  0/0         0/0         0/0         yes
only_c0                      COMPOSITESCALINGMANUAL  compact-active tail=1 c0=yes c1=no c5=no                                      4.404810e-14  2.747802e-14  0/0         0/0         0/0         yes
only_c1                      FIXEDMANUAL             compact-active linear:One=1 tail=0 c0=no c1=no c5=no                          4.139467e-13  5.164619e-13  0/0         0/0         0/0         yes
only_c1                      COMPOSITESCALINGMANUAL  compact-active linear:One=1 tail=0 c0=no c1=no c5=no                          8.595624e-13  2.834954e-13  0/0         0/0         0/0         yes
constant_linear              FIXEDMANUAL             compact-active linear:One=1 tail=1 c0=yes c1=no c5=no                         2.973177e-13  6.138978e-13  0/0         0/0         0/0         yes
constant_linear              COMPOSITESCALINGMANUAL  compact-active linear:One=1 tail=1 c0=yes c1=no c5=no                         2.586820e-13  2.511324e-13  0/0         0/0         0/0         yes
only_c5                      FIXEDMANUAL             compact-active tail=1 c0=no c1=no c5=yes                                      6.223771e-13  6.177216e-13  3/3         3/3         3/3         yes
only_c5                      COMPOSITESCALINGMANUAL  compact-active tail=1 c0=no c1=no c5=yes                                      4.655021e-14  4.085133e-14  3/3         3/3         3/3         yes
linear_plus_c5               FIXEDMANUAL             compact-active tail=2 c0=no c1=yes c5=yes                                     5.788356e-13  5.547646e-13  3/3         3/3         3/3         yes
linear_plus_c5               COMPOSITESCALINGMANUAL  compact-active tail=2 c0=no c1=yes c5=yes                                     2.544978e-13  4.918826e-13  3/3         3/3         3/3         yes
linear_block0_plus_c5        FIXEDMANUAL             compact-active block0:One=1 tail=2 c0=no c1=yes c5=yes                        2.525452e-12  2.519651e-12  4/4         4/4         4/4         yes
linear_block0_plus_c5        COMPOSITESCALINGMANUAL  compact-active block0:One=1 tail=2 c0=no c1=yes c5=yes                        5.014045e-13  5.495989e-12  4/4         4/4         4/4         yes
constant_linear_block0_c5    FIXEDMANUAL             compact-active block0:One=1 tail=3 c0=yes c1=yes c5=yes                       1.498135e-12  1.552314e-12  4/4         4/4         4/4         yes
constant_linear_block0_c5    COMPOSITESCALINGMANUAL  compact-active block0:One=1 tail=3 c0=yes c1=yes c5=yes                       4.948542e-13  1.787043e-12  4/4         4/4         4/4         yes
linear_block1_plus_c5        FIXEDMANUAL             compact-active block1:Z=1 tail=2 c0=no c1=yes c5=yes                          1.221342e-12  1.275494e-12  5/5         5/5         5/5         yes
linear_block1_plus_c5        COMPOSITESCALINGMANUAL  compact-active block1:Z=1 tail=2 c0=no c1=yes c5=yes                          4.282564e-13  3.356204e-13  5/5         5/5         5/5         yes
linear_plus_c2               FIXEDMANUAL             compact-active linear:One=1 block0:One=1 tail=0 c0=no c1=no c5=no             2.387895e-12  2.304573e-12  2/2         2/2         2/2         yes
linear_plus_c2               COMPOSITESCALINGMANUAL  compact-active linear:One=1 block0:One=1 tail=0 c0=no c1=no c5=no             6.797063e-13  7.509850e-12  2/2         2/2         2/2         yes
constant_linear_plus_c4      FIXEDMANUAL             compact-active linear:One=1 block0:One=1 tail=1 c0=yes c1=no c5=no            2.261247e-12  2.218281e-12  2/2         2/2         2/2         yes
constant_linear_plus_c4      COMPOSITESCALINGMANUAL  compact-active linear:One=1 block0:One=1 tail=1 c0=yes c1=no c5=no            6.776801e-13  3.362671e-12  2/2         2/2         2/2         yes
block0_only                  FIXEDMANUAL             compact-active block0:One=3 tail=0 c0=no c1=no c5=no                          6.527390e-12  6.605050e-12  5/5         5/2         5/2         yes
